0.000000000,sp
13.526553287,1.3
19.257142857,a
32.538775510,New Point
50.710204081,New Point
65.763265306,New Point
70.141678004,New Point
87.098049886,sp
96.361405895,1.4
110.155464852,sp
113.795192743,New Point
140.294965986,s
153.948299319,sp
171.047278911,2.2
180.258730158,2.3
189.741859410,New Point
198.693877551,New Point
200.620408163,sp
205.879727891,New Point
214.250521541,New Point
219.713015873,New Point
234.736326530,New Point
244.802176870,New Point
251.123809523,a
258.979591836,New Point
262.987755102,New Point
272.764807256,New Point
282.011111111,2.4
287.091519274,end
