0.000000000,1.1
4.527891156,New Point
18.323832199,1.2
25.567346938,s
29.907301587,New Point
35.131791383,a
41.886213151,1.4
47.977369614,2.1
53.843718820,2.3
60.100385487,2.4
65.844920634,3.1
71.853061224,New Point
77.767346938,s+p
82.012879818,a
93.112018140,New Point
99.583015873,3.2
118.987755102,New Point
133.156870748,4.1
138.670045351,4.4
145.108934240,s
154.737777777,a
168.066031746,a
183.934693877,a
195.314285714,New Point
211.638253968,5.3
228.494013605,1.2
233.205600907,5.4
241.240816326,New Point
248.293877551,end
