0.000000000,1.1
7.247006802,1.2
21.548117913,p+sp
27.353106575,New Point
34.906122448,s
56.998548752,1.2
63.738775510,New Point
83.963356009,New Point
104.079977324,1.3
118.723628117,a
133.979138321,New Point
154.021723356,1.4
162.609342403,a
176.277551020,New Point
184.714739229,a
193.942857142,New Point
214.527188208,1.1
225.129841269,p
233.028571428,New Point
245.061224489,New Point
251.564988662,s
265.914920634,a
275.069387755,New Point
307.827936507,2.2
313.371428571,New Point
322.316190476,p
328.146938775,New Point
342.958730158,a
353.665306122,New Point
359.793197278,p
362.971428571,s
374.421768707,a
387.412244897,New Point
397.420408163,New Point
410.877097505,a
423.363265306,New Point
429.824580498,a
445.485714285,New Point
448.586303854,s
453.973333333,a
462.512494331,1.3
470.575600907,p
477.814217687,1.4
480.049342403,end
