0.285170068,s
10.762448979,New Point
18.982312925,New Point
25.321360544,New Point
32.449886621,New Point
39.787755102,a
51.362539682,s
58.165986394,New Point
77.453061224,New Point
82.220408163,New Point
85.867052154,1.1
98.227256235,1.2
123.771428571,a
140.114285714,New Point
147.073469387,a
156.595374149,New Point
165.535056689,New Point
175.533537414,3.1
186.224036281,New Point
195.330612244,New Point
205.403718820,New Point
216.783673469,New Point
229.119229024,1.4
236.361020408,2.2
251.824535147,2.4
256.946938775,New Point
256.975238095,end
