0.000000000,p
1.486077097,New Point
9.534421768,s
14.466031746,New Point
28.537324263,New Point
34.644172335,New Point
38.171428571,New Point
41.918367346,New Point
57.051428571,New Point
76.776780045,New Point
84.218775510,New Point
87.477551020,New Point
91.057052154,New Point
94.458775510,a
103.738775510,New Point
137.289795918,New Point
144.544217687,New Point
149.257142857,New Point
155.461224489,New Point
159.053061224,New Point
162.725442176,a
179.461224489,New Point
194.253061224,New Point
209.374331065,New Point
228.321814058,New Point
235.102040816,New Point
249.242993197,New Point
252.400907029,New Point
255.605260770,a
268.963265306,New Point
287.625578231,New Point
290.667392290,New Point
303.473197278,New Point
308.941496598,New Point
312.099410430,New Point
315.605623582,a
331.937437641,1.1
347.493877551,New Point
360.081632653,New Point
369.893877551,New Point
376.283174603,1.2
408.000000000,New Point
424.971609977,New Point
442.155102040,New Point
453.597959183,p
462.077097505,s
479.793922902,New Point
485.668571428,a
499.855963718,New Point
513.834376417,New Point
531.249342403,New Point
540.281904761,New Point
550.011065759,New Point
565.928344671,New Point
578.083990929,a
585.077551020,New Point
589.142857142,New Point
603.457823129,s
615.183673469,New Point
620.390748299,a
636.179591836,New Point
651.820408163,New Point
661.942857142,New Point
669.844897959,New Point
675.951020408,New Point
682.248707482,end
