0.000000000,1.1
6.130068027,New Point
9.273469387,New Point
14.895600907,s
21.292698412,a
25.877551020,New Point
33.536553287,1.3
47.200000000,New Point
56.375510204,New Point
69.543764172,New Point
80.051247165,p
91.216326530,New Point
96.361541950,1.3
115.774693877,New Point
119.652426303,New Point
128.940408163,s
132.980680272,New Point
142.203061224,1.4
164.072199546,a
169.946848072,New Point
181.185306122,New Point
188.544580498,New Point
193.201632653,s
209.600000000,New Point
239.026213151,New Point
250.311111111,New Point
262.106122448,p
268.167256235,end
