0.000000000,p
3.118367346,New Point
5.893877551,New Point
10.497959183,s
14.013628117,1.4
21.722675736,2.3
30.098866213,a
39.493877551,New Point
44.907346938,3.1
53.868798185,1.2
61.453061224,New Point
69.257142857,a
77.469387755,New Point
86.036802721,4.2
90.840816326,New Point
97.321337868,4.3
100.995918367,a
109.273469387,New Point
118.251405895,1.3
126.285714285,New Point
133.820408163,a
142.334693877,New Point
148.261224489,New Point
163.265306122,New Point
167.166462585,4.4
181.280090702,2.1
187.814489795,5.2
194.857142857,a
202.579591836,New Point
207.836734693,New Point
218.771383219,2.3
230.242494331,5.4
240.445941043,6.1
246.995918367,a
252.619977324,3.2
263.640816326,New Point
263.871564625,end
